begin,ticker,open,high,low,close,volume,date,nn_news_sum,nn_news_mean,nn_news_max,nn_news_count,sentiment_mean,sentiment_sum,sentiment_count,sentiment_positive_count,sentiment_negative_count,sentiment_neutral_count,source_file,export_timestamp
2025-04-22,ALRS,51.33,52.49,50.61,52.07,17663180.0,2025-04-22,1.059729859234014,0.018591751916386214,0.141297236360568,57.0,0.1266369684778057,7.218307203234924,57.0,15.0,2.0,40.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-23,ALRS,52.3,52.36,49.86,50.84,20752290.0,2025-04-23,0.9887629207819919,0.017346717908456,0.13183498313738412,57.0,0.11815646953799941,6.734918763665966,57.0,15.0,2.0,40.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-24,ALRS,50.84,51.33,50.32,50.43,11130740.0,2025-04-24,0.9223881013819314,0.01647121609610592,0.12300638870587807,56.0,0.11220059310948896,6.283233214131382,56.0,15.0,2.0,39.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-25,ALRS,50.44,51.9,50.44,51.5,11399730.0,2025-04-25,0.8606185295903396,0.015368188028398922,0.11476901883238479,56.0,0.10468685504115059,5.862463882304433,56.0,15.0,2.0,39.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-26,ALRS,51.71,52.27,51.62,51.76,2439350.0,2025-04-26,0.8025306198101123,0.015142087166228535,0.10708328097692416,53.0,0.1031406054878618,5.466452090856675,53.0,14.0,2.0,37.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-27,ALRS,51.95,51.96,51.61,51.79,644500.0,2025-04-27,0.7487875450013174,0.014128066886817309,0.09991223399347605,53.0,0.09623358768725736,5.10038014742464,53.0,14.0,2.0,37.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-28,ALRS,51.6,52.49,50.66,51.39,17895560.0,2025-04-28,0.6986434831380808,0.01318195251203926,0.09322141057405846,53.0,0.08978911220616143,4.758822946926555,53.0,14.0,2.0,37.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-29,ALRS,51.59,51.59,49.11,49.19,22439710.0,2025-04-29,0.6518574190900185,0.012299196586604123,0.08697865158319473,53.0,0.08377620396914885,4.440138810364889,53.0,14.0,2.0,37.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-30,ALRS,49.2,50.28,48.48,50.1,21773200.0,2025-04-30,0.6082044777890224,0.011475556184698536,0.08115395148650585,53.0,0.07816596220893272,4.142795997073434,53.0,14.0,2.0,37.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-02,ALRS,50.45,50.45,48.14,48.15,8077230.0,2025-05-02,0.5294727507384586,0.009990051900725633,0.070648618180284,53.0,0.06804742243156991,3.6065133888732057,53.0,14.0,2.0,37.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-03,ALRS,47.78,48.46,47.76,48.22,882300.0,2025-05-03,0.49371002318611906,0.009494423522809981,0.06591749156869207,52.0,0.06470094763883535,3.364449277219438,52.0,14.0,1.0,37.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-04,ALRS,48.4,48.61,48.22,48.36,829430.0,2025-05-04,0.4604289317044087,0.009028018268713895,0.06150319435293905,51.0,0.0615323171722056,3.1381481757824856,51.0,14.0,1.0,36.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-05,ALRS,48.29,48.53,46.65,47.49,13048660.0,2025-05-05,0.4295953835382608,0.008423438892907075,0.0573845094161924,51.0,0.057411681967374666,2.927995780336108,51.0,14.0,1.0,36.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-06,ALRS,47.49,48.38,46.9,47.76,9926450.0,2025-05-06,0.40082666585310567,0.007859346389276581,0.053541640488462085,51.0,0.05356699337517936,2.7319166621341475,51.0,14.0,1.0,36.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-07,ALRS,47.58,48.34,47.45,48.07,6822240.0,2025-05-07,0.3739845031286475,0.007333029473110735,0.049956116996738034,51.0,0.04997977207647595,2.5489683759002735,51.0,14.0,1.0,36.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-05-08,ALRS,48.07,49.16,48.07,48.54,5933780.0,2025-05-08,0.34824409276163,0.007107022301257755,0.046610705287029236,49.0,0.04850361327132763,2.376677050295054,49.0,14.0,1.0,34.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-16,CHMF,1043.4,1056.4,1021.0,1041.4,986514.0,2025-04-16,1.3582273595261114,0.028296403323460655,0.24727278091820762,48.0,0.16470002162418795,7.905601037961022,48.0,15.0,4.0,29.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-17,CHMF,1041.4,1065.0,1037.6,1062.0,1247448.0,2025-04-17,1.266512072179869,0.0281447127151082,0.23071366250574085,45.0,0.16385644153055218,7.373539868874849,45.0,14.0,3.0,28.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-18,CHMF,1055.8,1055.8,1006.2,1022.4,1642014.0,2025-04-18,1.1816975475234641,0.026259945500521426,0.21526345871614472,45.0,0.1528834658238271,6.8797559620722195,45.0,14.0,3.0,28.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-21,CHMF,1026.2,1044.0,1017.6,1040.6,1301869.0,2025-04-21,0.9598366647442204,0.021329703660982673,0.17484826019012015,45.0,0.1241799614786502,5.588098266539259,45.0,14.0,3.0,28.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-22,CHMF,1044.8,1107.6,1033.0,1093.0,3122761.0,2025-04-22,0.8955592746930117,0.01990131721540026,0.16313919527019388,45.0,0.1158640009473505,5.213880042630772,45.0,14.0,3.0,28.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-23,CHMF,1102.6,1103.4,1055.0,1062.4,1713028.0,2025-04-23,0.835586349165354,0.018568585537007867,0.15221425139985637,45.0,0.10810493541532991,4.864722093689846,45.0,14.0,3.0,28.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-24,CHMF,1057.8,1089.2,1051.4,1071.4,1491481.0,2025-04-24,0.7794780688549419,0.01771541065579413,0.14202091833814368,44.0,0.10314268228139517,4.538278020381387,44.0,14.0,3.0,27.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-25,CHMF,1078.0,1112.0,1073.2,1106.4,1299509.0,2025-04-25,0.7272787544210599,0.016529062600478636,0.13251020229784283,44.0,0.09623552540414058,4.234363117782186,44.0,14.0,3.0,27.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-26,CHMF,1120.2,1121.0,1099.8,1105.4,174281.0,2025-04-26,0.6782153816419156,0.01654183857663209,0.12363639045910381,41.0,0.09630931776441051,3.9486820283408313,41.0,14.0,2.0,25.0,api_response_20251004_205609.json,2025-10-04 21:30:00
2025-04-27,CHMF,1106.4,1110.0,1102.4,1107.0,49535.0,2025-04-27,0.632797326439634,0.015434081132674,0.11535683125287043,41.0,0.08985977086659694,3.6842506055304742,41.0,14.0,2.0,25.0,api_response_20251004_205609.json,2025-10-04 21:30:00
